Wavelength(nm)	n	k
1990	1.57401	0
1995	1.57394	0
2000	1.57388	0
2005	1.57381	0
2010	1.57374	0
2015	1.57368	0
2020	1.57361	0
2025	1.57354	0
2030	1.57348	0
2035	1.57341	0
2040	1.57335	0
2045	1.57328	0
2050	1.57321	0
2055	1.57314	0
2060	1.57308	0
2065	1.57301	0
2070	1.57294	0
2075	1.57287	0
2080	1.57281	0
2085	1.57274	0
2090	1.57267	0
2095	1.5726	0
2100	1.57254	0
2105	1.57247	0
2110	1.5724	0
2115	1.57233	0
2120	1.57226	0
2125	1.57219	0
2130	1.57212	0
2135	1.57206	0
2140	1.57199	0
2145	1.57192	0
2150	1.57185	0
2155	1.57178	0
2160	1.57171	0
2165	1.57164	0
2170	1.57157	0
2175	1.5715	0
2180	1.57143	0
2185	1.57136	0
2190	1.57129	0
2195	1.57122	0
2200	1.57115	0
2205	1.57108	0
2210	1.57101	0
2215	1.57094	0
2220	1.57087	0
2225	1.57079	0
2230	1.57072	0
2235	1.57065	0
2240	1.57058	0
2245	1.57051	0
2250	1.57044	0
2255	1.57036	0
2260	1.57029	0
2265	1.57022	0
2270	1.57015	0
2275	1.57008	0
2280	1.57	0
2285	1.56993	0
2290	1.56986	0
2295	1.56978	0
2300	1.56971	0
2305	1.56964	0
2310	1.56956	0
2315	1.56949	0
2320	1.56942	0
2325	1.56934	0
2330	1.56927	0
2335	1.56919	0
2340	1.56912	0
2345	1.56904	0
2350	1.56897	0
2355	1.5689	0
2360	1.56882	0
2365	1.56875	0
2370	1.56867	0
2375	1.56859	0
2380	1.56852	0
2385	1.56844	0
2390	1.56837	0
2395	1.56829	0
2400	1.56822	0
2405	1.56814	0
2410	1.56806	0
2415	1.56799	0
2420	1.56791	0
2425	1.56783	0
2430	1.56775	0
2435	1.56768	0
2440	1.5676	0
2445	1.56752	0
2450	1.56744	0
2455	1.56737	0
2460	1.56729	0
2465	1.56721	0
2470	1.56713	0
2475	1.56705	0
2480	1.56698	0
2485	1.5669	0
2490	1.56682	0
2495	1.56674	0
2500	1.56666	0
