Wavelength(nm)	n	k
1985	1.5337	0
1990	1.53363	0
1995	1.53355	0
2000	1.53348	0
2005	1.53341	0
2010	1.53333	0
2015	1.53326	0
2020	1.53319	0
2025	1.53311	0
2030	1.53304	0
2035	1.53296	0
2040	1.53289	0
2045	1.53281	0
2050	1.53274	0
2055	1.53266	0
2060	1.53259	0
2065	1.53251	0
2070	1.53243	0
2075	1.53236	0
2080	1.53228	0
2085	1.5322	0
2090	1.53213	0
2095	1.53205	0
2100	1.53197	0
2105	1.5319	0
2110	1.53182	0
2115	1.53174	0
2120	1.53166	0
2125	1.53158	0
2130	1.5315	0
2135	1.53143	0
2140	1.53135	0
2145	1.53127	0
2150	1.53119	0
2155	1.53111	0
2160	1.53103	0
2165	1.53095	0
2170	1.53087	0
2175	1.53079	0
2180	1.53071	0
2185	1.53062	0
2190	1.53054	0
2195	1.53046	0
2200	1.53038	0
2205	1.5303	0
2210	1.53022	0
2215	1.53013	0
2220	1.53005	0
2225	1.52997	0
2230	1.52988	0
2235	1.5298	0
2240	1.52972	0
2245	1.52963	0
2250	1.52955	0
2255	1.52946	0
2260	1.52938	0
2265	1.52929	0
2270	1.52921	0
2275	1.52912	0
2280	1.52904	0
2285	1.52895	0
2290	1.52887	0
2295	1.52878	0
2300	1.52869	0
2305	1.5286	0
2310	1.52852	0
2315	1.52843	0
2320	1.52834	0
2325	1.52825	0
